Sun Mar 27 15:12:47 2022    output.dat

         142237896 function calls (141370651 primitive calls) in 63.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   293670   12.729    0.000   50.518    0.000 C:\huji\thesis\Code\utils.py:161(strongly_connected_components)
   275169   11.060    0.000   18.971    0.000 C:\huji\thesis\Code\utils.py:220(biconnected_dfs)
 13056468    6.939    0.000   18.693    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\graph.py:452(__getitem__)
 13056616    4.514    0.000    5.924    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\coreviews.py:81(__getitem__)
 13056468    4.296    0.000    5.830    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:323(adj)
    77921    3.228    0.000    3.893    0.000 C:\huji\thesis\Code\version1.py:352(remove_flow_cycle)
 26979954    3.051    0.000    3.051    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\coreviews.py:44(__init__)
 18203229    1.429    0.000    1.429    0.000 {built-in method builtins.next}
   158366    1.392    0.000    1.588    0.000 C:\huji\thesis\Code\version1.py:286(augment_flow)
  9245930    1.132    0.000    1.132    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\coreviews.py:53(__getitem__)
        1    1.076    1.076   63.156   63.156 C:\huji\thesis\Code\version3.py:9(search_max_flow)
  3811489    0.944    0.000    1.346    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\coreviews.py:50(__iter__)
   137829    0.928    0.000    1.433    0.000 C:\huji\thesis\Code\utils.py:3(get_nodes_from_edges)
  8716395    0.918    0.000    0.918    0.000 {method 'add' of 'set' objects}
  4641341    0.894    0.000    0.895    0.000 {built-in method builtins.min}
    77920    0.832    0.000    4.144    0.000 C:\huji\thesis\Code\utils.py:13(_bidirectional_pred_succ)
5880714/5013904    0.811    0.000    1.027    0.000 {built-in method builtins.iter}
   137829    0.772    0.000    0.907    0.000 C:\huji\thesis\Code\version1.py:321(find_residual_edge)
   376829    0.763    0.000    2.346    0.000 C:\huji\thesis\Code\utils.py:63(iterate)
  7553075    0.727    0.000    0.727    0.000 {method 'append' of 'list' objects}
  3900502    0.515    0.000    0.515    0.000 {method 'pop' of 'list' objects}
   866810    0.458    0.000    1.244    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\reportviews.py:1161(__init__)
4680215/4680187    0.442    0.000    0.442    0.000 {built-in method builtins.len}
   866810    0.405    0.000    1.649    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:905(in_edges)
   866876    0.373    0.000    0.785    0.000 {built-in method builtins.hasattr}
  1170154    0.321    0.000    0.442    0.000 C:\huji\thesis\Code\utils.py:39(iterate)
