Mon Mar 28 11:13:45 2022    ./v1/output.dat

         326497016 function calls (325409130 primitive calls) in 39085.766 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 33007216    4.688    0.000    4.688    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\coreviews.py:44(__init__)
 21586556    2.767    0.000    2.767    0.000 {method 'get' of 'dict' objects}
 20679282    3.629    0.000    3.629    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\coreviews.py:53(__getitem__)
 18135924   21.565    0.000   23.975    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\coreviews.py:81(__getitem__)
 14690714   11.927    0.000   18.310    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:901(__iter__)
14143718/13055971   11.950    0.000   12.463    0.000 {built-in method builtins.iter}
 13783540    9.055    0.000   37.343    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\graph.py:452(__getitem__)
 13783540    5.554    0.000    7.623    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:323(adj)
 13603759    2.635    0.000    6.164    0.000 {method 'update' of 'dict' objects}
 11247368    8.011    0.000    8.012    0.000 {built-in method builtins.min}
 11174173    1.742    0.000    1.742    0.000 {method 'add' of 'set' objects}
 10879575    2.706    0.000    6.792    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\coreviews.py:50(__iter__)
  9251388   18.088    0.000   20.876    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:568(add_edge)
  8343988   20.931    0.000   31.556    0.000 {built-in method builtins.next}
7835397/7835260    1.195    0.000    1.195    0.000 {built-in method builtins.len}
  7620617    0.815    0.000    0.848    0.000 {built-in method builtins.isinstance}
  7620240    2.687    0.000    3.498    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\reportviews.py:187(__getitem__)
  6347596  651.085    0.000  651.085    0.000 {method 'append' of 'list' objects}
  6167594    0.974    0.000    0.974    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\graph.py:416(__contains__)
  6167586    2.602    0.000    3.512    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\reportviews.py:726(<genexpr>)
  6167586    1.314    0.000    1.314    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\algorithms\flow\utils.py:124(<genexpr>)
  6167584    1.280    0.000    1.280    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\graph.py:1173(has_edge)
  6167584    0.747    0.000    0.747    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\reportviews.py:712(<lambda>)
  5439954    0.730    0.000    0.730    0.000 {method 'pop' of 'list' objects}
  5439669    0.803    0.000    0.803    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:854(__init__)
  4351577    3.736    0.000    4.406    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:832(items)
  4171888    1.274    0.000    1.968    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:920(__iter__)
  3083800    0.659    0.000    0.659    0.000 {method 'split' of 'str' objects}
  3083797    0.550    0.000    0.550    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\reportviews.py:1012(__iter__)
  2176445    0.269    0.000    0.269    0.000 {method 'remove' of 'set' objects}
  2176190    0.162    0.000    0.162    0.000 {method 'items' of 'dict' objects}
